,Date,Symbol,Price in ETH,Deposit Rate,Deposit Rewards
1,05-01-2021,DAI,0.00037452467814415,0.03835302897916015697,0.05610440868861931734
4,05-02-2021,DAI,0.00037452467814415,0.03834422842888456097,0.05609760729808141467
7,05-03-2021,DAI,0.000370385,0.03758562322879935825,0.05457328145105245908
10,05-04-2021,DAI,0.000370385,0.03758562322879935825,0.0545670432629892518
13,05-05-2021,DAI,0.000370385,0.03758562322879935825,0.05456080560970724217
16,05-06-2021,DAI,0.000370385,0.037583109446714222,0.05455449480910228626
19,05-07-2021,DAI,0.000370385,0.037583109446714222,0.05454825865143017493
22,05-08-2021,DAI,0.000370385,0.03758312109071725408,0.05454202320090516102
25,05-09-2021,DAI,0.000370385,0.03758312109071725408,0.05453578811157028011
28,05-10-2021,DAI,0.000370385,0.03758312109071725408,0.05452955355755365421
31,05-11-2021,DAI,0.000370385,0.03758312109071725408,0.05452331953897697187
34,05-12-2021,DAI,0.000370385,0.03758312109071725408,0.05451708605596181355
37,05-13-2021,DAI,0.000370385,0.03751291847233599055,0.05450897151932286902
40,05-14-2021,DAI,0.000370385,0.03751291847233599055,0.05450275095971647812
43,05-15-2021,DAI,0.000370385,0.03751291847233599055,0.05449653093399301362
46,05-16-2021,DAI,0.000370385,0.03751291847233599055,0.05449031144227295964
49,05-17-2021,DAI,0.000370385,0.03751291847233599055,0.05448409248467669327
52,05-18-2021,DAI,0.000370385,0.03751291847233599055,0.05447787406132448456
55,05-19-2021,DAI,0.000370385,0.03752011754608728943,0.05446691094632061673
58,05-20-2021,DAI,0.000370385,0.03752011754608728943,0.05446069294077492501
61,05-21-2021,DAI,0.00037377,0.03749871901167243043,0.05396083209764092042
64,05-22-2021,DAI,0.00037377,0.03749871901167243043,0.05395467503281805927
67,05-23-2021,DAI,0.00037377,0.03749871901167243043,0.05394851849753766392
70,05-24-2021,DAI,0.000381275,0.03540999954961118271,0.05307821805812590402
73,05-25-2021,DAI,0.000367115,0.03849110517476686776,0.0572586300722230257
76,05-26-2021,DAI,0.00036745,0.04344570737156507196,0.05542183274744406001
79,05-27-2021,DAI,0.0003632015750186,0.04586855434487755636,0.04719931152707045079
82,05-28-2021,DAI,0.0003999728075957,0.02823738600399223435,0.04260015139821745203
85,05-29-2021,DAI,0.00043615,0.02792599484844207098,0.04054086737439911851
88,05-30-2021,DAI,0.00043079,0.02821810918562813454,0.0376682286984641962
91,05-31-2021,DAI,0.00036994,0.02845050208706501763,0.0387945460547909901
