,DAI,,,USDC,,,USDT,,
Row Labels,Sum of Deposit Rate,Sum of Deposit Rewards,,Sum of Deposit Rate,Sum of Deposit Rewards,,Sum of Deposit Rate,Sum of Deposit Rewards,
5/1/2021,0.038353029,0.056104409,0.094457438,0.016979224,0.033987179,0.050966403,0.092010848,0.147202222,0.23921307
5/2/2021,0.038344228,0.056097607,0.094441836,0.016978928,0.033985128,0.050964056,0.092410982,0.14650236,0.238913342
5/3/2021,0.037585623,0.054573281,0.092158905,0.017827484,0.032155681,0.049983166,0.067653772,0.128103843,0.195757615
5/4/2021,0.037585623,0.054567043,0.092152666,0.017827484,0.032153938,0.049981422,0.067653772,0.128077488,0.195731261
5/5/2021,0.037585623,0.054560806,0.092146429,0.017825174,0.032152189,0.049977364,0.067653772,0.128051138,0.195704911
5/6/2021,0.037583109,0.054554495,0.092137604,0.017825472,0.032150412,0.049975883,0.067445966,0.128028681,0.195474647
5/7/2021,0.037583109,0.054548259,0.092131368,0.017825472,0.032148668,0.04997414,0.067445966,0.128002421,0.195448387
5/8/2021,0.037583121,0.054542023,0.092125144,0.017825472,0.032146925,0.049972397,0.06744599,0.127976166,0.195422155
5/9/2021,0.037583121,0.054535788,0.092118909,0.017825472,0.032145182,0.049970654,0.06744599,0.127949915,0.195395905
5/10/2021,0.037583121,0.054529554,0.092112675,0.017825472,0.032143439,0.04996891,0.06744599,0.127923669,0.195369659
5/11/2021,0.037583121,0.05452332,0.092106441,0.017825467,0.032141696,0.049967163,0.067540739,0.127900674,0.195441414
5/12/2021,0.037583121,0.054517086,0.092100207,0.017825467,0.032139952,0.04996542,0.067540739,0.127874401,0.19541514
5/13/2021,0.037512918,0.054508972,0.09202189,0.017825467,0.032138209,0.049963677,0.067540739,0.127848132,0.195388871
5/14/2021,0.037512918,0.054502751,0.092015669,0.017825467,0.032136466,0.049961934,0.067540739,0.127821868,0.195362607
5/15/2021,0.037512918,0.054496531,0.092009449,0.017825684,0.032134724,0.049960408,0.067540788,0.12779561,0.195336398
5/16/2021,0.037512918,0.054490311,0.09200323,0.017825684,0.032132981,0.049958665,0.067540788,0.127769355,0.195310143
5/17/2021,0.037512918,0.054484092,0.091997011,0.01782549,0.032131062,0.049956552,0.067540788,0.127743106,0.195283894
5/18/2021,0.037512918,0.054477874,0.091990793,0.01782549,0.032129319,0.049954809,0.067540788,0.127716861,0.195257649
5/19/2021,0.037520118,0.054466911,0.091987028,0.017825242,0.032124787,0.049950029,0.067244791,0.127669288,0.194914079
5/20/2021,0.037520118,0.054460693,0.09198081,0.017825243,0.032123044,0.049948287,0.067243591,0.127643169,0.19488676
5/21/2021,0.037498719,0.053960832,0.091459551,0.017825282,0.032121094,0.049946376,0.066633907,0.127615812,0.194249719
5/22/2021,0.037498719,0.053954675,0.091453394,0.017825282,0.032119352,0.049944634,0.066633907,0.127589943,0.19422385
5/23/2021,0.037498719,0.053948518,0.091447238,0.017825282,0.03211761,0.049942892,0.066633907,0.127564079,0.194197986
5/24/2021,0.03541,0.053078218,0.088488218,0.017668003,0.032873002,0.050541005,0.031416037,0.134222085,0.165638123
5/25/2021,0.038491105,0.05725863,0.095749735,0.016976125,0.034598582,0.051574707,0.111975956,0.150197732,0.262173689
5/26/2021,0.043445707,0.055421833,0.09886754,0.017570588,0.033938327,0.051508915,0.037788814,0.127877874,0.165666688
